what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406749015847
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1406749015847
java.specification.name,sysinfo,,,"Java Platform API Specification",1406749015847
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406749015847
java.specification.version,sysinfo,,,"1.7",1406749015847
java.vendor,sysinfo,,,"Oracle Corporation",1406749015847
java.version,sysinfo,,,"1.7.0_05",1406749015847
java.vm.info,sysinfo,,,"mixed mode",1406749015847
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1406749015847
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406749015847
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406749015847
java.vm.specification.version,sysinfo,,,"1.7",1406749015847
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406749015847
java.vm.version,sysinfo,,,"23.1-b03",1406749015847
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1406749015851
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1406749016919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406749017221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406749019368
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406749021088
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406749021150
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1406749021173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406749027083
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406749041173
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1406749041361
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1406749041473
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1406749041483
